time   pid avg min max msg con
1553693682962 50858 0.00 0 0 0 100
1553693683963 50858 4.98 1 24 100 100
1553693684963 50858 51.29 1 148 100 100
1553693685963 50858 6.19 1 27 100 100
1553693686967 50858 7.74 1 28 100 100
1553693687967 50858 7.25 1 24 100 100
1553693688967 50858 5.14 1 20 100 100
1553693689968 50858 5.70 1 23 100 100
1553693690968 50858 5.95 1 30 100 100
1553693691969 50858 37.98 1 87 100 100
1553693692973 50858 8.38 1 30 100 100
1553693693978 50858 11.12 1 48 100 100
1553693694983 50858 5.56 1 24 100 100
1553693695985 50858 6.44 1 21 100 100
1553693696985 50858 3.45 1 44 100 100
1553693697987 50858 4.51 1 26 100 100
1553693698992 50858 6.63 1 45 100 100
1553693699996 50858 3.85 1 28 100 100
1553693701002 50858 2.58 1 6 100 100
1553693702002 50858 3.23 1 25 100 100
1553693703001 50858 5.99 1 27 100 100
1553693704002 50858 6.29 1 28 100 100
1553693705007 50858 3.16 1 8 100 100
1553693706008 50858 3.37 1 14 100 100
1553693707012 50858 2.04 1 8 100 100
1553693708014 50858 2.19 1 5 100 100
1553693709014 50858 2.88 1 11 100 100
1553693710018 50858 2.75 1 11 100 100
1553693711020 50858 2.94 1 20 100 100
1553693712025 50858 3.89 1 22 100 100
1553693713026 50858 4.57 1 25 100 100
1553693714029 50858 3.29 1 19 100 100
1553693715031 50858 103.40 1 193 100 100
1553693716031 50858 5.90 1 31 100 100
1553693717034 50858 7.98 1 23 100 100
1553693718037 50858 2.83 1 16 100 100
1553693719041 50858 4.85 1 21 100 100
1553693720043 50858 2.96 1 27 100 100
1553693721045 50858 2.25 1 12 100 100
1553693722051 50858 3.04 1 22 100 100
1553693723056 50858 3.40 1 17 100 100
1553693724059 50858 3.14 1 11 100 100
1553693725064 50858 3.26 1 7 100 100
1553693726069 50858 6.26 1 16 100 100
1553693727073 50858 3.44 1 27 100 100
1553693728079 50858 7.69 1 25 100 100
1553693729083 50858 4.44 1 15 100 100
1553693730088 50858 2.99 1 9 100 100
1553693731092 50858 17.00 1 51 100 100
1553693732097 50858 8.22 1 22 100 100
1553693733098 50858 4.00 1 12 100 100
1553693734102 50858 2.99 1 14 100 100
1553693735103 50858 7.46 1 21 100 100
1553693736103 50858 7.09 1 25 100 100
1553693737105 50858 5.23 1 21 100 100
1553693738108 50858 2.53 1 24 100 100
1553693739108 50858 3.74 1 20 100 100
1553693740110 50858 4.14 1 19 100 100
1553693741110 50858 2.50 1 7 100 100
1553693742111 50858 3.56 1 23 100 100
1553693743111 50858 5.29 1 23 100 100
1553693744111 50858 4.57 1 35 100 100
1553693745114 50858 3.10 1 34 100 100
1553693746119 50858 3.06 1 30 100 100
1553693747119 50858 3.70 1 19 100 100
1553693748119 50858 4.13 1 30 100 100
1553693749124 50858 8.15 1 30 100 100
1553693750128 50858 2.60 1 8 100 100
1553693751130 50858 3.24 1 10 100 100
1553693752132 50858 5.30 1 21 100 100
1553693753132 50858 4.71 1 20 100 100
1553693754137 50858 2.01 1 8 100 100
1553693755141 50858 5.36 1 20 100 100
1553693756141 50858 7.27 1 28 100 100
1553693757143 50858 6.88 1 33 100 100
1553693758144 50858 4.38 1 28 100 100
1553693759148 50858 2.28 1 23 100 100
1553693760149 50858 3.67 1 9 100 100
1553693761149 50858 4.70 1 27 100 100
1553693762153 50858 3.69 1 26 100 100
1553693763154 50858 3.85 1 25 100 100
1553693764158 50858 2.70 1 5 100 100
1553693765162 50858 10.73 1 31 100 100
1553693766163 50858 10.07 1 29 100 100
1553693767165 50858 10.21 1 32 100 100
1553693768169 50858 3.12 1 10 100 100
1553693769170 50858 4.15 1 19 100 100
1553693770170 50858 4.63 1 21 100 100
1553693771175 50858 4.78 1 14 100 100
1553693772175 50858 6.65 1 30 100 100
1553693773180 50858 3.26 1 21 100 100
1553693774183 50858 3.70 1 17 100 100
1553693775189 50858 35.87 1 192 100 100
1553693776192 50858 3.61 1 9 100 100
1553693777193 50858 2.73 1 5 100 100
1553693778195 50858 5.60 1 29 100 100
1553693779195 50858 3.82 1 23 100 100
1553693780200 50858 2.21 1 7 100 100
1553693781206 50858 14.15 1 28 100 100
1553693782210 50858 3.66 1 11 100 100
1553693783212 50858 3.01 1 10 100 100
1553693784212 50858 2.96 1 10 100 100
1553693785214 50858 2.60 1 4 100 100
1553693786218 50858 3.56 1 25 100 100
1553693787223 50858 9.52 1 24 100 100
1553693788224 50858 11.27 1 22 100 100
1553693789227 50858 4.55 1 20 100 100
1553693790232 50858 5.26 1 25 100 100
1553693791236 50858 7.54 1 21 100 100
1553693792236 50858 7.40 1 27 100 100
1553693793237 50858 6.74 1 29 100 100
1553693794243 50858 4.89 1 19 100 100
1553693795249 50858 5.37 1 19 100 100
1553693796255 50858 4.10 1 12 100 100
1553693797256 50858 3.61 1 6 100 100
1553693798257 50858 5.86 1 21 100 100
1553693799262 50858 2.39 1 5 100 100
1553693800265 50858 3.14 1 14 100 100
1553693801268 50858 3.09 1 5 100 100
1553693802269 50858 2.76 1 4 100 100
1553693803273 50858 12.43 1 22 100 100
1553693804277 50858 3.01 1 5 100 100
1553693805281 50858 3.29 1 6 100 100
1553693806285 50858 2.50 1 5 100 100
1553693807289 50858 3.69 1 23 100 100
1553693808290 50858 4.63 1 25 100 100
1553693809296 50858 2.04 1 3 100 100
1553693810300 50858 3.51 1 19 100 100
1553693811304 50858 3.87 1 7 100 100
1553693812309 50858 5.67 1 20 100 100
1553693813315 50858 3.73 1 8 100 100
1553693814320 50858 5.76 1 19 100 100
1553693815320 50858 3.31 1 6 100 100
1553693816322 50858 3.66 1 20 100 100
1553693817322 50858 2.76 1 4 100 100
1553693818324 50858 5.02 1 22 100 100
1553693819329 50858 4.22 1 23 100 100
1553693820331 50858 6.41 1 21 100 100
1553693821336 50858 7.61 1 34 100 100
1553693822336 50858 3.27 2 5 100 100
1553693823336 50858 2.38 1 4 100 100
1553693824341 50858 2.87 1 6 100 100
1553693825346 50858 4.77 1 11 100 100
1553693826349 50858 4.26 2 6 100 100
1553693827354 50858 5.81 1 15 100 100
1553693828359 50858 4.30 2 7 100 100
1553693829359 50858 4.59 1 8 100 100
1553693830361 50858 3.76 1 6 100 100
1553693831361 50858 3.21 1 5 100 100
1553693832361 50858 3.09 1 5 100 100
1553693833364 50858 3.90 1 6 100 100
1553693834363 50858 3.99 1 8 100 100
1553693835367 50858 4.47 1 7 100 100
1553693836372 50858 6.45 1 25 100 100
1553693837376 50858 5.97 3 8 100 100
1553693838381 50858 4.21 1 6 100 100
1553693839386 50858 5.05 1 9 100 100
1553693840390 50858 3.93 1 7 100 100
1553693841390 50858 2.95 1 5 100 100
1553693842395 50858 3.78 1 7 100 100
1553693843398 50858 4.05 1 6 100 100
1553693844403 50858 4.53 1 8 100 100
1553693845409 50858 5.74 2 11 100 100
1553693846413 50858 6.12 1 10 100 100
1553693847417 50858 4.93 2 10 100 100
1553693848422 50858 5.39 1 9 100 100
1553693849423 50858 4.32 3 7 100 100
1553693850424 50858 2.99 1 5 100 100
1553693851426 50858 4.21 1 8 100 100
1553693852432 50858 3.51 1 6 100 100
1553693853433 50858 4.21 1 10 100 100
1553693854434 50858 7.65 1 38 100 100
1553693855437 50858 4.41 1 33 100 100
1553693856440 50858 4.57 1 7 100 100
1553693857442 50858 4.38 1 7 100 100
1553693858444 50858 3.98 1 9 100 100
1553693859445 50858 3.79 1 7 100 100
1553693860450 50858 2.94 1 6 100 100
1553693861454 50858 5.63 1 19 100 100
1553693862457 50858 3.60 1 7 100 100
1553693863459 50858 4.27 1 9 100 100
1553693864465 50858 3.23 1 5 100 100
1553693865468 50858 4.91 3 9 100 100
1553693866470 50858 5.45 2 10 100 100
1553693867472 50858 4.33 2 8 100 100
1553693868477 50858 6.97 1 23 100 100
1553693869480 50858 5.09 3 9 100 100
1553693870482 50858 3.74 1 5 100 100
1553693871483 50858 5.57 2 8 100 100
1553693872489 50858 3.72 2 5 100 100
1553693873493 50858 4.21 2 7 100 100
1553693874492 50858 4.72 2 7 100 100
1553693875492 50858 11.08 1 41 100 100
1553693876492 50858 6.42 1 10 100 100
1553693877494 50858 6.06 1 44 100 100
1553693878499 50858 4.36 1 9 100 100
1553693879500 50858 3.86 1 8 100 100
1553693880502 50858 2.22 1 4 100 100
1553693881507 50858 5.10 1 28 100 100
1553693882512 50858 4.24 1 7 100 100
1553693883511 50858 5.27 1 10 100 100
1553693884514 50858 3.84 1 7 100 100
1553693885517 50858 4.01 1 8 100 100
1553693886520 50858 3.78 1 7 100 100
